bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,N,N,0,1,0
ab,Y,Y,Y,10,1537,702
ad,N,Y,N,1,584,0
ae,Y,Y,Y,6,877,56
af,N,Y,N,0,8,0
ag,N,Y,N,0,538,1
ah,N,Y,N,0,454,0
ai,Y,Y,Y,267,1763,136
aj,N,N,N,0,0,0
ak,Y,Y,N,3,246,1
al,Y,Y,N,15,56,1
am,Y,Y,Y,171,1548,104
an,Y,Y,Y,90,2005,507
ao,Y,Y,Y,159,1406,330
ap,Y,Y,N,14,703,0
ar,Y,Y,Y,11,1209,2
as,Y,Y,Y,5,1828,382
at,Y,Y,N,2,535,0
au,Y,Y,Y,27,799,57
av,N,N,N,0,1,0
aw,N,Y,N,0,138,0
ax,Y,Y,N,7,242,0
aâ,N,N,N,0,0,0
aî,N,N,N,0,0,0
aô,N,N,N,0,0,0
aû,N,N,N,0,0,0
aā,N,N,N,0,0,0
aē,N,N,N,0,0,0
aī,N,N,N,0,0,0
aō,N,N,N,0,0,0
aū,N,N,N,0,0,0
aǀ,N,Y,N,0,316,0
aǁ,N,Y,N,0,136,0
aǂ,N,Y,N,0,229,0
aǃ,N,Y,N,0,430,0
aȃ,N,N,N,0,0,0
aȋ,N,N,N,0,0,0
aȗ,N,N,N,0,0,0
ba,Y,Y,Y,22,2597,1250
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,3,315,54
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,1,0
bi,Y,Y,Y,13,162,20
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,1,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,2,68,8
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,1,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,23,66,9
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
bx,N,N,N,0,0,0
bâ,N,N,N,0,0,0
bî,N,N,N,0,0,0
bô,N,N,N,0,0,0
bû,N,N,N,0,0,0
bā,N,N,N,0,0,0
bē,Y,Y,Y,14,138,48
bī,N,N,N,0,0,0
bō,N,N,N,0,0,0
bū,N,N,N,0,0,0
bǀ,N,Y,N,0,68,0
bǁ,N,N,N,0,1,0
bǂ,N,N,N,0,0,0
bǃ,N,Y,N,0,3,0
bȃ,N,N,N,0,0,0
bȋ,N,N,N,0,0,0
bȗ,N,N,N,0,0,0
da,Y,Y,Y,149,300,58
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,11,621,432
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,124,1104,733
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,1,1
do,Y,Y,Y,120,139,107
dp,N,N,N,0,0,0
dr,Y,Y,N,5,2,0
ds,N,Y,Y,0,4,2
dt,N,N,N,0,0,0
du,Y,Y,Y,19,55,52
