bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,44,1856,425
ab,Y,Y,N,5,680,0
ad,Y,Y,N,2,200,0
ae,N,N,N,0,0,0
ag,Y,Y,N,2,298,0
ah,Y,Y,N,9,4,0
ai,Y,Y,Y,7,393,150
aj,Y,Y,N,30,383,0
ak,N,Y,N,1,56,0
al,Y,Y,N,8,261,0
am,Y,Y,N,16,263,0
an,Y,Y,Y,22,699,106
ao,N,N,N,0,0,0
ap,N,Y,N,0,22,0
ar,Y,Y,N,9,355,0
as,N,Y,N,1,34,0
at,Y,Y,N,3,204,0
au,N,Y,Y,0,213,44
aw,N,Y,Y,0,97,4
ay,N,Y,N,0,110,0
aŋ,Y,Y,N,7,192,0
aɔ,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
aɲ,N,Y,N,0,139,0
ba,Y,Y,Y,207,257,10
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,11,714,492
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,150,132,7
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,93,54,2
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,59,60,28
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,20,118,4
bɛ,Y,Y,Y,101,385,10
bɲ,N,N,N,0,0,0
da,Y,Y,N,143,44,0
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,84,133,2
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,N,119,33,0
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,57,439,306
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,151,36,7
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,Y,Y,N,129,137,1
dɛ,Y,Y,N,115,243,1
dɲ,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,Y,Y,N,4,21,0
ed,N,Y,N,0,41,0
ee,Y,Y,Y,2,87,3
eg,N,Y,N,0,53,0
eh,N,N,N,0,0,0
ei,N,Y,Y,1,244,205
ej,N,Y,N,0,35,0
ek,N,Y,N,0,5,0
el,Y,Y,N,4,189,0
em,Y,Y,N,6,185,0
en,N,Y,N,0,111,0
eo,N,N,N,0,0,0
ep,N,Y,N,0,2,0
er,N,Y,N,0,99,0
es,N,Y,N,0,7,0
et,N,Y,N,0,6,0
eu,N,Y,Y,0,80,40
ew,N,Y,N,0,4,0
ey,N,Y,N,0,5,0
eŋ,N,Y,N,0,33,0
eɔ,N,N,N,0,0,0
eɛ,N,N,N,0,0,0
eɲ,N,Y,N,0,37,0
ga,Y,Y,Y,189,334,11
gb,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,Y,Y,Y,4,107,12
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,Y,Y,Y,63,224,94
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,N,N,0,0,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,Y,Y,Y,126,121,16
gp,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,Y,Y,Y,33,174,71
gw,N,N,N,0,0,0
gy,N,N,N,0,0,0
gŋ,N,N,N,0,0,0
gɔ,Y,Y,Y,54,170,19
gɛ,Y,Y,Y,167,184,19
gɲ,N,N,N,0,0,0
ha,Y,Y,N,12,11,0
hb,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,N,Y,N,0,31,0
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,N,Y,N,0,9,0
hp,N,N,N,0,0,0
hr,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,N,Y,N,0,8,0
hw,N,N,N,0,0,0
hy,N,N,N,0,0,0
hŋ,N,N,N,0,0,0
hɔ,Y,Y,N,5,5,0
hɛ,N,Y,N,0,20,0
hɲ,N,N,N,0,0,0
ia,N,N,N,0,0,0
ib,Y,Y,N,27,89,0
id,N,Y,N,0,262,0
ie,N,N,N,0,0,0
ig,Y,Y,N,9,111,0
ih,Y,N,N,22,0,0
ii,Y,Y,Y,6,189,56
ij,Y,Y,N,4,49,0
ik,N,Y,N,0,22,0
il,Y,Y,N,10,129,0
im,N,Y,N,1,86,0
in,Y,Y,Y,34,1362,971
io,N,N,N,0,0,0
ip,N,Y,N,0,11,0
ir,Y,Y,N,7,177,0
is,N,Y,N,1,11,0
it,N,Y,N,0,27,0
iu,N,Y,Y,0,34,8
iw,N,Y,N,0,6,1
iy,Y,Y,N,72,1019,0
iŋ,Y,Y,N,33,26,0
iɔ,N,N,N,0,0,0
iɛ,N,N,N,0,0,0
iɲ,N,Y,N,0,22,0
ja,Y,Y,Y,131,154,8
jb,N,N,N,0,0,0
jd,N,N,N,0,0,0
je,Y,Y,Y,34,17,5
jg,N,N,N,0,0,0
jh,N,N,N,0,0,0
ji,Y,Y,Y,77,54,5
jj,N,N,N,0,0,0
jk,N,N,N,0,0,0
jl,N,N,N,0,0,0
jm,N,N,N,0,0,0
jn,N,N,N,0,0,0
jo,Y,Y,Y,24,38,4
jp,N,N,N,0,0,0
jr,N,N,N,0,0,0
js,N,N,N,0,0,0
jt,N,N,N,0,0,0
ju,Y,Y,Y,83,149,31
jw,N,N,N,0,0,0
jy,N,N,N,0,0,0
jŋ,N,N,N,0,0,0
jɔ,Y,Y,Y,37,101,4
jɛ,Y,Y,Y,71,563,393
jɲ,N,N,N,0,0,0
ka,Y,Y,N,275,57,1
kb,N,N,N,0,0,0
kd,N,N,N,0,0,0
ke,Y,Y,N,36,5,0
kg,N,N,N,0,0,0
kh,N,N,N,0,0,0
ki,Y,Y,N,155,26,0
kj,N,N,N,0,0,0
kk,N,N,N,0,0,0
kl,N,N,N,0,0,0
km,N,N,N,0,0,0
kn,N,N,N,0,0,0
ko,Y,Y,N,46,4,0
kp,N,N,N,0,0,0
kr,N,N,N,0,0,0
ks,N,N,N,0,0,0
kt,N,N,N,0,0,0
ku,Y,Y,N,95,18,0
kw,N,N,N,0,0,0
ky,N,N,N,0,0,0
kŋ,N,N,N,0,0,0
kɔ,Y,Y,N,109,16,1
kɛ,Y,Y,Y,35,13,2
kɲ,N,N,N,0,0,0
la,Y,Y,Y,52,279,52
lb,N,N,N,0,0,0
ld,N,N,N,0,0,0
le,Y,Y,Y,32,120,44
lg,N,N,N,0,0,0
lh,N,N,N,0,0,0
li,Y,Y,Y,54,220,54
lj,N,N,N,0,0,0
lk,N,N,N,0,0,0
ll,N,N,N,0,0,0
lm,N,N,N,0,0,0
ln,N,N,N,0,0,0
lo,Y,Y,Y,3,172,74
lp,N,N,N,0,0,0
lr,N,N,N,0,0,0
ls,N,N,N,0,0,0
lt,N,N,N,0,0,0
lu,Y,Y,Y,33,328,208
lw,N,N,N,0,0,0
ly,N,N,N,0,0,0
lŋ,N,N,N,0,0,0
lɔ,Y,Y,Y,20,129,21
lɛ,Y,Y,Y,13,260,110
lɲ,N,N,N,0,0,0
ma,Y,Y,Y,110,375,10
mb,N,N,N,0,0,0
md,N,N,N,0,0,0
me,N,N,N,0,0,0
mg,N,N,N,0,0,0
mh,N,N,N,0,0,0
mi,Y,Y,Y,22,133,27
mj,N,N,N,0,0,0
mk,N,N,N,0,0,0
ml,N,N,N,0,0,0
mm,N,N,N,0,0,0
mn,N,N,N,0,0,0
mo,N,N,N,0,0,0
mp,N,N,N,0,0,0
mr,N,N,N,0,0,0
ms,N,N,N,0,0,0
mt,N,N,N,0,0,0
mu,Y,Y,Y,31,140,102
mw,N,N,N,0,0,0
my,N,N,N,0,0,0
mŋ,N,N,N,0,0,0
mɔ,Y,Y,Y,89,748,122
mɛ,Y,Y,Y,12,126,23
mɲ,N,N,N,0,0,0
na,Y,Y,Y,130,216,12
nb,N,Y,N,0,157,0
nd,N,Y,N,0,116,0
ne,N,N,N,0,0,0
ng,N,Y,N,0,45,0
nh,N,Y,N,0,7,0
ni,Y,Y,Y,18,116,26
nj,N,Y,N,0,79,0
nk,N,Y,N,0,21,0
nl,N,Y,N,0,46,0
nm,N,Y,N,0,166,0
nn,N,Y,N,0,65,0
no,N,N,N,0,0,0
np,N,Y,N,0,7,0
nr,N,Y,N,0,261,0
ns,N,Y,N,0,11,0
nt,N,Y,N,0,29,0
nu,Y,Y,Y,32,162,102
nw,N,Y,Y,0,374,127
ny,N,Y,N,0,120,0
nŋ,N,N,N,0,0,0
nɔ,Y,Y,Y,54,395,17
nɛ,Y,Y,Y,19,524,327
nɲ,N,Y,N,0,46,0
oa,N,N,N,0,0,0
ob,Y,Y,N,53,45,0
od,N,Y,N,0,72,0
oe,N,N,N,0,0,0
og,N,Y,N,0,73,0
oh,Y,Y,N,8,3,0
oi,N,Y,Y,0,112,44
oj,Y,Y,N,3,84,0
ok,N,Y,N,0,4,0
ol,Y,Y,N,5,167,0
om,N,Y,N,0,114,0
on,N,Y,N,1,158,0
oo,Y,Y,Y,2,251,10
op,N,Y,N,0,4,0
or,Y,Y,N,2,52,0
os,N,Y,N,0,5,0
ot,N,Y,N,0,22,0
ou,N,Y,Y,0,100,49
ow,N,Y,N,0,44,0
oy,N,Y,N,0,9,0
oŋ,N,Y,N,0,6,0
oɔ,N,N,N,0,0,0
oɛ,N,N,N,0,1,0
oɲ,N,Y,N,0,21,0
pa,Y,Y,N,124,33,1
pb,N,N,N,0,0,0
pd,N,N,N,0,0,0
pe,Y,Y,N,13,2,1
pg,N,N,N,0,0,0
ph,N,N,N,0,0,0
pi,Y,Y,N,67,9,0
pj,N,N,N,0,0,0
pk,N,N,N,0,0,0
pl,N,N,N,0,0,0
pm,N,N,N,0,0,0
pn,N,N,N,0,0,0
po,Y,Y,N,36,5,0
pp,N,N,N,0,0,0
pr,N,N,N,0,0,0
ps,N,N,N,0,0,0
pt,N,N,N,0,0,0
pu,Y,Y,N,23,4,0
pw,N,N,N,0,0,0
py,N,N,N,0,0,0
pŋ,N,N,N,0,0,0
pɔ,Y,N,N,12,1,0
pɛ,Y,Y,N,46,4,0
pɲ,N,N,N,0,0,0
ra,N,Y,Y,0,472,19
rb,N,N,N,0,0,0
rd,N,N,N,0,0,0
re,Y,Y,Y,2,105,9
rg,N,N,N,0,0,0
rh,N,N,N,0,0,0
ri,N,Y,Y,0,201,12
rj,N,N,N,0,0,0
rk,N,N,N,0,0,0
rl,N,N,N,0,0,0
rm,N,N,N,0,0,0
rn,N,N,N,0,0,0
ro,N,Y,Y,0,44,9
rp,N,N,N,0,0,0
rr,N,N,N,0,0,0
rs,N,N,N,0,0,0
rt,N,N,N,0,0,0
ru,N,Y,Y,0,251,67
rw,N,N,N,0,0,0
ry,N,N,N,0,0,0
rŋ,N,N,N,0,0,0
rɔ,N,Y,Y,0,133,17
rɛ,N,Y,Y,0,165,20
rɲ,N,N,N,0,0,0
sa,Y,Y,N,89,17,0
sb,N,N,N,0,0,0
sd,N,N,N,0,0,0
se,Y,Y,N,32,6,1
sg,N,N,N,0,0,0
sh,N,N,N,0,0,0
si,Y,Y,N,52,17,0
sj,N,N,N,0,0,0
sk,N,N,N,0,0,0
sl,N,N,N,0,0,0
sm,N,N,N,0,0,0
sn,N,N,N,0,0,0
so,Y,Y,N,8,3,0
sp,N,N,N,0,0,0
sr,N,N,N,0,0,0
ss,N,N,N,0,0,0
st,N,N,N,0,0,0
su,Y,Y,Y,131,31,3
sw,N,N,N,0,0,0
sy,N,N,N,0,0,0
sŋ,N,N,N,0,0,0
sɔ,Y,Y,N,143,37,0
sɛ,Y,Y,N,87,22,1
sɲ,N,N,N,0,0,0
ta,Y,Y,N,211,42,0
tb,N,N,N,0,0,0
td,N,N,N,0,0,0
te,Y,Y,N,34,9,0
tg,N,N,N,0,0,0
th,N,N,N,0,0,0
ti,Y,Y,Y,80,204,62
tj,N,N,N,0,0,0
tk,N,N,N,0,0,0
tl,N,N,N,0,0,0
