bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,6,405,223
ab,N,Y,N,1,42,0
ac,N,Y,N,0,7,0
ad,N,Y,N,0,25,1
ae,N,Y,Y,0,20,12
af,N,Y,N,0,17,0
ag,N,Y,Y,0,103,2
ah,N,Y,Y,0,104,46
ai,N,Y,N,0,7,0
aj,N,Y,N,1,13,0
ak,N,Y,N,0,28,0
al,Y,Y,Y,4,169,12
am,Y,Y,Y,11,98,6
an,Y,Y,N,30,150,1
ao,N,Y,Y,0,23,16
ap,N,Y,N,1,26,0
ar,N,Y,Y,0,168,14
as,Y,Y,N,5,15,0
at,Y,Y,N,4,27,0
au,N,Y,N,0,2,1
av,N,N,N,0,0,0
aw,N,Y,N,1,47,0
ay,N,Y,N,1,3,0
aŋ,Y,Y,Y,2,73,14
aɔ,N,Y,Y,0,13,12
aɛ,N,N,N,0,0,0
ba,Y,Y,Y,91,61,7
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,40,54,4
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,46,66,8
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,60,38,4
bp,N,N,N,0,0,0
br,Y,N,N,2,1,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,11,5,2
bv,N,N,N,0,0,0
bw,Y,Y,N,37,17,0
by,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,37,62,2
bɛ,Y,Y,Y,9,17,4
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,N,145,79,0
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
cɛ,N,N,N,0,0,0
da,Y,Y,Y,59,18,2
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,N,36,6,1
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,N,10,22,1
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,N,30,13,1
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,N,13,6,1
dv,N,N,N,0,0,0
dw,Y,N,N,2,1,0
dy,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,Y,Y,N,24,15,1
dɛ,Y,Y,Y,12,71,3
ea,N,Y,Y,0,21,9
eb,N,Y,N,0,38,0
ec,N,Y,N,0,29,0
ed,N,Y,N,0,17,0
ee,Y,Y,Y,2,221,159
ef,N,Y,N,0,5,0
eg,N,Y,Y,0,95,10
eh,N,Y,Y,0,34,22
ei,N,Y,N,0,6,0
ej,N,Y,N,0,26,0
ek,Y,Y,N,3,16,0
el,Y,Y,Y,2,65,7
em,N,Y,Y,0,49,5
en,N,Y,Y,0,137,36
eo,N,Y,Y,0,10,8
ep,N,Y,N,0,11,0
er,N,Y,Y,0,103,4
