bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,395,4703,4
ab,Y,Y,N,321,1901,0
ac,Y,Y,N,9,503,0
ad,N,N,N,0,0,0
ae,N,Y,N,0,30,0
ag,Y,Y,N,378,1649,0
ah,Y,Y,N,67,1118,0
ai,Y,Y,Y,117,1303,73
ak,Y,Y,N,588,1705,1
am,Y,Y,N,224,1488,0
an,Y,Y,N,53,2281,1
ao,N,Y,Y,0,40,3
ar,Y,Y,N,456,2566,0
as,Y,Y,N,47,693,0
at,Y,Y,N,214,1509,0
au,N,Y,N,0,4,0
aw,N,Y,N,0,6,0
ay,Y,Y,N,2,282,0
aë,N,Y,Y,0,16,16
aö,N,Y,Y,0,19,19
ba,Y,Y,Y,1632,2773,430
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,16,672,105
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,325,992,124
bk,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,191,854,37
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,105,1094,75
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bë,Y,Y,Y,3,243,172
bö,Y,Y,Y,79,280,67
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,N,315,1751,0
ci,N,N,N,0,0,0
ck,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cë,N,N,N,0,0,0
cö,N,N,N,0,0,0
da,N,Y,Y,0,315,63
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,N,Y,Y,0,313,146
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,N,Y,Y,0,132,21
dk,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,Y,Y,0,87,22
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,N,Y,N,0,55,1
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dë,N,Y,Y,0,99,12
dö,N,Y,Y,0,26,13
ea,N,Y,Y,0,82,75
eb,Y,Y,N,13,705,0
ec,N,Y,N,0,26,0
ed,N,N,N,0,0,0
ee,Y,Y,N,3,1665,1
eg,Y,Y,N,84,360,0
eh,Y,Y,N,23,179,0
ei,N,Y,N,0,43,0
ek,Y,Y,N,115,974,0
em,Y,Y,N,46,418,0
en,Y,Y,N,58,668,0
eo,N,Y,Y,0,13,9
er,Y,Y,N,71,2869,0
es,Y,Y,N,19,137,0
et,Y,Y,N,47,309,0
eu,N,Y,N,0,3,0
ew,N,Y,N,0,13,0
ey,Y,Y,N,2,392,0
eë,N,Y,N,0,2,0
eö,N,N,N,0,1,1
ga,Y,Y,Y,407,2036,381
gb,N,N,N,0,0,0
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,Y,Y,Y,198,686,162
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,Y,Y,Y,153,594,111
gk,N,N,N,0,0,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,Y,Y,Y,527,1206,36
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,Y,Y,Y,341,982,15
gw,N,N,N,0,0,0
gy,N,N,N,0,0,0
gë,Y,Y,Y,52,695,90
gö,Y,Y,Y,64,523,115
ha,Y,Y,Y,98,1350,524
hb,N,N,N,0,0,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,Y,Y,Y,3,761,119
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,Y,Y,Y,6,1103,68
hk,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,Y,Y,Y,3,541,33
hr,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,Y,Y,Y,2,305,8
hw,N,N,N,0,0,0
hy,N,N,N,0,0,0
hë,Y,Y,Y,2,432,198
hö,Y,Y,Y,6,302,76
ia,N,Y,Y,0,1961,1575
ib,Y,Y,N,136,887,0
ic,Y,Y,N,166,335,0
id,N,N,N,0,0,0
ie,N,Y,N,0,102,0
ig,Y,Y,N,55,855,0
ih,Y,Y,N,8,338,0
ii,Y,Y,N,3,1616,0
ik,Y,Y,N,78,790,0
im,Y,Y,N,38,493,0
in,Y,Y,N,44,1019,0
io,N,Y,Y,0,354,152
ir,Y,Y,N,146,1804,0
is,Y,Y,N,27,575,0
it,Y,Y,N,14,857,0
iu,N,Y,N,0,97,0
iw,N,N,N,0,0,0
iy,Y,Y,N,20,189,0
ië,N,Y,N,0,18,0
iö,N,Y,Y,0,93,62
ka,Y,Y,Y,14,2037,410
kb,N,N,N,0,0,0
kc,N,N,N,0,0,0
kd,N,N,N,0,0,0
ke,Y,Y,Y,159,1056,68
kg,N,N,N,0,0,0
kh,N,N,N,0,0,0
ki,Y,Y,Y,221,881,121
kk,N,N,N,0,0,0
km,N,N,N,0,0,0
kn,N,N,N,0,0,0
ko,Y,Y,Y,702,1277,52
kr,N,N,N,0,0,0
ks,N,N,N,0,0,0
kt,N,N,N,0,0,0
ku,Y,Y,Y,443,1146,109
kw,N,N,N,0,0,0
ky,N,N,N,0,0,0
kë,Y,Y,Y,86,341,90
kö,Y,Y,Y,49,802,60
ma,Y,Y,Y,32,1199,232
mb,Y,Y,N,574,644,0
mc,N,N,N,0,0,0
md,N,N,N,0,0,0
me,Y,Y,Y,4,337,31
mg,N,N,N,0,0,0
mh,N,N,N,0,0,0
mi,N,Y,Y,1,487,63
mk,N,N,N,0,0,0
mm,N,N,N,0,0,0
mn,N,N,N,0,0,0
mo,Y,Y,Y,651,1152,12
mr,N,N,N,0,0,0
ms,N,N,N,0,0,0
mt,N,N,N,0,0,0
mu,Y,Y,Y,217,819,8
mw,N,N,N,0,0,0
my,N,N,N,0,0,0
më,Y,Y,Y,3,183,57
mö,Y,Y,Y,181,234,106
na,Y,Y,Y,831,803,568
nb,N,N,N,0,0,0
nc,Y,Y,N,35,376,0
nd,Y,Y,N,225,801,0
ne,Y,Y,Y,239,371,240
ng,Y,Y,N,526,1403,1
nh,N,N,N,0,0,0
ni,Y,Y,Y,191,617,259
nk,Y,Y,N,620,188,0
nm,N,N,N,0,0,0
nn,N,N,N,0,0,0
no,Y,Y,Y,202,119,52
nr,N,N,N,0,0,0
ns,Y,Y,N,13,155,0
nt,Y,Y,N,164,392,0
nu,Y,Y,Y,78,36,17
nw,N,N,N,0,0,0
ny,Y,Y,N,29,1103,0
në,N,Y,Y,1,238,210
