bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
jd,N,N,N,0,0,0
je,Y,Y,Y,53,267,69
jg,N,Y,N,1,13,0
ji,Y,Y,Y,25,20,7
jj,N,Y,N,0,16,0
jk,N,Y,N,0,5,0
jl,N,N,N,0,0,0
jm,N,N,N,0,0,0
jn,N,N,N,0,0,0
jo,N,Y,Y,0,12,11
jp,N,N,N,0,0,0
jr,N,N,N,0,0,0
js,N,Y,N,1,12,0
jt,N,N,N,0,0,0
ju,Y,Y,N,3,13,1
jw,N,N,N,0,0,0
jy,N,N,N,0,0,0
jz,N,N,N,0,0,0
jŋ,N,N,N,0,0,0
jƴ,N,N,N,0,0,0
jɓ,N,N,N,0,0,0
jɔ,N,Y,Y,0,5,5
jɗ,Y,Y,N,2,26,0
jɛ,Y,Y,Y,24,6,4
ka,Y,Y,Y,98,36,13
kb,N,N,N,0,0,0
kc,N,N,N,0,0,0
kd,N,N,N,0,0,0
ke,Y,N,N,8,1,1
kg,N,Y,N,0,23,0
ki,Y,Y,Y,37,286,180
kj,N,Y,N,0,20,0
kk,N,Y,N,0,11,0
kl,N,N,N,0,0,0
km,N,N,N,0,0,0
kn,N,N,N,0,0,0
ko,Y,Y,Y,38,17,15
kp,N,N,N,0,0,0
kr,N,N,N,0,0,0
ks,N,Y,N,0,21,0
kt,N,Y,N,0,9,0
ku,Y,Y,Y,51,33,2
kw,N,N,N,0,0,0
ky,N,N,N,0,0,0
kz,N,N,N,0,0,0
kŋ,N,Y,Y,0,41,40
kƴ,N,N,N,0,0,0
kɓ,N,N,N,0,0,0
kɔ,Y,Y,Y,101,18,10
kɗ,N,Y,N,0,42,0
kɛ,Y,Y,Y,36,13,6
la,Y,Y,Y,23,15,10
lb,N,Y,N,0,2,0
lc,N,N,N,0,0,0
ld,N,N,N,0,0,0
le,Y,Y,Y,8,5,3
lg,N,Y,N,1,41,0
li,Y,Y,Y,2,44,18
lj,N,Y,N,0,28,0
lk,N,Y,N,0,15,0
ll,N,N,N,0,0,0
lm,N,N,N,0,0,0
ln,N,N,N,0,0,0
lo,Y,Y,Y,2,18,13
lp,N,N,N,0,1,0
lr,N,N,N,0,0,0
ls,N,Y,N,0,29,0
lt,N,N,N,0,0,0
lu,Y,Y,Y,2,46,8
lw,N,N,N,0,0,0
ly,N,N,N,0,0,0
lz,N,N,N,0,0,0
lŋ,N,N,N,0,0,0
lƴ,N,N,N,0,0,0
lɓ,N,N,N,0,0,0
lɔ,Y,Y,Y,13,13,10
lɗ,N,Y,N,1,48,0
lɛ,Y,Y,Y,17,22,15
ma,Y,Y,Y,103,73,62
mb,N,Y,Y,0,20,5
mc,N,N,N,0,0,0
md,N,N,N,0,0,0
me,Y,Y,Y,3,2,2
mg,N,Y,N,0,70,0
mi,Y,Y,Y,15,21,16
mj,N,Y,N,0,9,0
mk,N,Y,N,0,26,0
ml,N,N,N,0,0,0
mm,N,Y,N,0,5,0
mn,N,Y,N,0,2,0
mo,Y,Y,Y,14,47,28
mp,N,Y,N,0,10,0
mr,N,N,N,0,0,0
ms,N,Y,N,0,7,0
mt,N,N,N,0,0,0
mu,Y,Y,Y,10,12,2
mw,N,N,N,0,0,0
my,N,N,N,0,0,0
mz,N,N,N,0,0,0
mŋ,N,N,N,0,0,0
mƴ,N,N,N,0,0,0
mɓ,N,N,N,0,1,0
mɔ,Y,Y,Y,12,2,2
mɗ,N,Y,N,0,27,0
mɛ,Y,Y,Y,75,5,3
na,Y,Y,Y,139,29,8
nb,N,N,N,0,0,0
nc,N,N,N,0,0,0
nd,N,Y,Y,0,103,11
ne,Y,Y,Y,2,3,4
ng,N,Y,N,0,79,0
ni,Y,Y,Y,24,24,21
nj,N,Y,N,0,12,0
nk,N,Y,N,0,16,0
nl,N,N,N,0,0,0
nm,N,N,N,0,0,0
nn,N,N,N,0,0,0
no,Y,Y,Y,20,111,84
np,N,N,N,0,0,0
nr,N,N,N,0,0,0
ns,N,Y,N,0,19,0
nt,N,N,N,0,0,0
nu,Y,Y,Y,3,16,2
nw,N,N,N,0,0,0
ny,N,N,N,0,0,0
